file_name,rep_number,bottom_frame,avg_knee_angle,avg_hip_angle,spine_lean,knee_symmetry,quality_score,status,improvements,feedback
incorrect__IMG_9754_angles.csv,1,7,69.89,94.86,156.93,9.33,91,Excellent Squat ✅,"Chest Position, Minor Hip Adjustment","Torso position is good, but keeping your chest slightly higher will improve stability. | Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9754_angles.csv,2,29,121.57,128.86,173.04,5.67,100,Excellent Squat ✅,None,"Excellent squat form. Strong depth, posture, and balance."
incorrect__IMG_9754_angles.csv,3,51,75.07,86.19,159.7,13.86,87,Good Squat + Minor Improvements ⚠️,"Chest Position, Hip Positioning","Torso position is good, but keeping your chest slightly higher will improve stability. | Sit back into your hips more for better control and stronger squat mechanics."
incorrect__IMG_9754_angles.csv,4,73,134.53,129.94,174.23,1.89,92,Excellent Squat ✅,Depth Refinement,"Depth is decent, but going slightly deeper would improve overall squat quality."
incorrect__IMG_9754_angles.csv,5,102,74.69,85.44,156.76,7.02,87,Good Squat + Minor Improvements ⚠️,"Chest Position, Hip Positioning","Torso position is good, but keeping your chest slightly higher will improve stability. | Sit back into your hips more for better control and stronger squat mechanics."
incorrect__IMG_9754_angles.csv,6,123,128.07,129.0,176.47,5.58,100,Excellent Squat ✅,None,"Excellent squat form. Strong depth, posture, and balance."
incorrect__IMG_9754_angles.csv,7,142,128.21,122.59,175.88,6.93,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9754_angles.csv,8,161,128.52,123.69,178.27,11.61,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9754_angles.csv,9,182,74.82,91.17,156.68,9.02,91,Excellent Squat ✅,"Chest Position, Minor Hip Adjustment","Torso position is good, but keeping your chest slightly higher will improve stability. | Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9754_angles.csv,10,199,134.0,128.92,176.35,1.75,92,Excellent Squat ✅,Depth Refinement,"Depth is decent, but going slightly deeper would improve overall squat quality."
incorrect__Copy of IMG_8551_angles.csv,1,33,106.62,137.48,174.54,53.78,90,Excellent Squat ✅,Balance / Symmetry,Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__Copy of IMG_8551_angles.csv,2,75,107.47,136.38,176.49,51.65,90,Excellent Squat ✅,Balance / Symmetry,Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__IMG_9958_angles.csv,1,1,127.12,156.35,150.21,2.96,95,Excellent Squat ✅,Chest Position,"Torso position is good, but keeping your chest slightly higher will improve stability."
incorrect__IMG_9958_angles.csv,2,41,80.84,132.78,174.05,48.14,90,Excellent Squat ✅,Balance / Symmetry,Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__IMG_9958_angles.csv,3,80,87.38,132.95,175.71,54.72,90,Excellent Squat ✅,Balance / Symmetry,Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__anatomy_angles.csv,1,26,63.96,71.97,170.91,6.19,92,Excellent Squat ✅,Hip Positioning,Sit back into your hips more for better control and stronger squat mechanics.
incorrect__Copy of IMG_8548_angles.csv,1,29,78.74,80.25,174.03,18.76,87,Good Squat + Minor Improvements ⚠️,"Hip Positioning, Minor Balance Improvement",Sit back into your hips more for better control and stronger squat mechanics. | Slight imbalance detected. Try keeping both legs more even during the rep.
incorrect__IMG_9794_angles.csv,1,7,135.85,149.86,173.22,12.22,92,Excellent Squat ✅,Depth Refinement,"Depth is decent, but going slightly deeper would improve overall squat quality."
incorrect__IMG_9794_angles.csv,2,26,78.27,84.37,166.32,24.43,87,Good Squat + Minor Improvements ⚠️,"Hip Positioning, Minor Balance Improvement",Sit back into your hips more for better control and stronger squat mechanics. | Slight imbalance detected. Try keeping both legs more even during the rep.
incorrect__IMG_9794_angles.csv,3,53,80.12,84.54,167.9,24.98,87,Good Squat + Minor Improvements ⚠️,"Hip Positioning, Minor Balance Improvement",Sit back into your hips more for better control and stronger squat mechanics. | Slight imbalance detected. Try keeping both legs more even during the rep.
incorrect__IMG_9794_angles.csv,4,75,138.47,153.08,172.63,25.44,82,Good Squat + Minor Improvements ⚠️,"Depth Refinement, Balance / Symmetry","Depth is decent, but going slightly deeper would improve overall squat quality. | Noticeable left-right imbalance detected. Try distributing your weight more evenly."
incorrect__IMG_9794_angles.csv,5,94,85.26,87.57,171.26,27.72,82,Good Squat + Minor Improvements ⚠️,"Hip Positioning, Balance / Symmetry",Sit back into your hips more for better control and stronger squat mechanics. | Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__IMG_9957_angles.csv,1,2,114.27,150.08,171.45,15.87,95,Excellent Squat ✅,Minor Balance Improvement,Slight imbalance detected. Try keeping both legs more even during the rep.
incorrect__IMG_9957_angles.csv,2,21,118.18,150.32,172.42,30.11,90,Excellent Squat ✅,Balance / Symmetry,Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__IMG_9957_angles.csv,3,39,122.47,154.33,173.24,20.34,95,Excellent Squat ✅,Minor Balance Improvement,Slight imbalance detected. Try keeping both legs more even during the rep.
incorrect__IMG_9957_angles.csv,4,71,96.24,118.92,176.93,22.54,91,Excellent Squat ✅,"Minor Hip Adjustment, Minor Balance Improvement","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Slight imbalance detected. Try keeping both legs more even during the rep."
incorrect__IMG_9957_angles.csv,5,87,127.71,159.6,176.38,30.41,90,Excellent Squat ✅,Balance / Symmetry,Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__IMG_9957_angles.csv,6,108,91.23,121.65,176.45,31.07,86,Good Squat + Minor Improvements ⚠️,"Minor Hip Adjustment, Balance / Symmetry","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Noticeable left-right imbalance detected. Try distributing your weight more evenly."
incorrect__IMG_9769_angles.csv,1,53,88.74,91.24,174.17,16.65,91,Excellent Squat ✅,"Minor Hip Adjustment, Minor Balance Improvement","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Slight imbalance detected. Try keeping both legs more even during the rep."
incorrect__IMG_9769_angles.csv,2,102,84.09,88.54,173.79,9.51,92,Excellent Squat ✅,Hip Positioning,Sit back into your hips more for better control and stronger squat mechanics.
incorrect__Copy of IMG_8547_angles.csv,1,42,70.2,130.62,156.22,1.01,95,Excellent Squat ✅,Chest Position,"Torso position is good, but keeping your chest slightly higher will improve stability."
incorrect__Copy of IMG_8547_angles.csv,2,77,69.21,130.86,156.37,1.68,95,Excellent Squat ✅,Chest Position,"Torso position is good, but keeping your chest slightly higher will improve stability."
incorrect__Copy of IMG_8549_angles.csv,1,18,82.22,98.25,175.63,27.12,86,Good Squat + Minor Improvements ⚠️,"Minor Hip Adjustment, Balance / Symmetry","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Noticeable left-right imbalance detected. Try distributing your weight more evenly."
incorrect__Copy of IMG_8549_angles.csv,2,63,83.15,95.78,175.18,34.55,86,Good Squat + Minor Improvements ⚠️,"Minor Hip Adjustment, Balance / Symmetry","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Noticeable left-right imbalance detected. Try distributing your weight more evenly."
incorrect__IMG_9157 (1)_angles.csv,1,24,65.32,100.35,177.35,5.78,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9157 (1)_angles.csv,2,55,65.49,99.32,176.46,3.38,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9157 (1)_angles.csv,3,86,61.2,95.8,174.85,6.23,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9755_angles.csv,1,30,83.87,93.91,176.32,9.87,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9755_angles.csv,2,80,79.76,93.83,174.52,15.34,91,Excellent Squat ✅,"Minor Hip Adjustment, Minor Balance Improvement","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Slight imbalance detected. Try keeping both legs more even during the rep."
incorrect__IMG_9755_angles.csv,3,129,89.23,95.03,175.5,12.26,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9768_angles.csv,1,16,140.31,158.84,163.07,18.97,87,Good Squat + Minor Improvements ⚠️,"Depth Refinement, Minor Balance Improvement","Depth is decent, but going slightly deeper would improve overall squat quality. | Slight imbalance detected. Try keeping both legs more even during the rep."
incorrect__IMG_9768_angles.csv,2,41,77.31,110.83,155.51,14.35,91,Excellent Squat ✅,"Chest Position, Minor Hip Adjustment","Torso position is good, but keeping your chest slightly higher will improve stability. | Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9768_angles.csv,3,91,99.7,121.49,153.18,10.16,91,Excellent Squat ✅,"Chest Position, Minor Hip Adjustment","Torso position is good, but keeping your chest slightly higher will improve stability. | Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__Cap 2026-04-26 at 19.27.59 (online-video-cutter.com)_angles.csv,1,5,118.07,110.78,171.87,65.28,86,Good Squat + Minor Improvements ⚠️,"Minor Hip Adjustment, Balance / Symmetry","Good squat overall, but a slight hip adjustment could improve balance and movement quality. | Noticeable left-right imbalance detected. Try distributing your weight more evenly."
incorrect__Cap 2026-04-26 at 19.27.59 (online-video-cutter.com)_angles.csv,2,24,74.97,71.5,178.92,56.2,82,Good Squat + Minor Improvements ⚠️,"Hip Positioning, Balance / Symmetry",Sit back into your hips more for better control and stronger squat mechanics. | Noticeable left-right imbalance detected. Try distributing your weight more evenly.
incorrect__IMG_9157_angles.csv,1,24,65.32,100.35,177.35,5.78,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9157_angles.csv,2,55,65.49,99.32,176.46,3.38,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
incorrect__IMG_9157_angles.csv,3,86,61.2,95.8,174.85,6.23,96,Excellent Squat ✅,Minor Hip Adjustment,"Good squat overall, but a slight hip adjustment could improve balance and movement quality."
